Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Green","LED_0603_1608Metric",50.000000,26.500000,90.000000,bottom
"D2","Green","LED_0603_1608Metric",47.000000,26.500000,90.000000,bottom
"D3","Red","LED_0603_1608Metric",44.000000,26.500000,90.000000,bottom
"D4","Green","LED_0603_1608Metric",14.000000,26.500000,90.000000,bottom
"D5","Green","LED_0603_1608Metric",11.000000,26.500000,90.000000,bottom
"D6","Green","LED_0603_1608Metric",8.000000,26.500000,90.000000,bottom
"D7","Green","LED_0603_1608Metric",5.000000,26.500000,90.000000,bottom
"D8","Green","LED_0603_1608Metric",38.000000,26.500000,90.000000,bottom
"D9","Green","LED_0603_1608Metric",41.000000,26.500000,90.000000,bottom
"D10","Green","LED_0603_1608Metric",32.000000,26.500000,90.000000,bottom
"D11","Green","LED_0603_1608Metric",35.000000,26.500000,90.000000,bottom
"R8","6R2","R_2512_6332Metric",27.500000,48.100000,90.000000,bottom
"R9","6R2","R_2512_6332Metric",27.500000,61.900000,90.000000,bottom
"R14","330","R_0402_1005Metric",50.000000,24.000000,-90.000000,bottom
"R15","330","R_0402_1005Metric",47.000000,24.000000,-90.000000,bottom
"R16","330","R_0402_1005Metric",44.000000,24.000000,-90.000000,bottom
"R17","330","R_0402_1005Metric",14.000000,24.000000,-90.000000,bottom
"R18","330","R_0402_1005Metric",11.000000,24.000000,-90.000000,bottom
"R19","330","R_0402_1005Metric",8.000000,24.000000,-90.000000,bottom
"R20","330","R_0402_1005Metric",5.000000,24.000000,-90.000000,bottom
"R21","330","R_0402_1005Metric",38.000000,24.000000,-90.000000,bottom
"R22","330","R_0402_1005Metric",41.000000,24.000000,-90.000000,bottom
"R23","330","R_0402_1005Metric",30.200000,27.500000,180.000000,bottom
"R24","330","R_0402_1005Metric",35.000000,24.000000,-90.000000,bottom
"SW1","TL3301NF160QG","TL3301N-J",37.000000,10.000000,-90.000000,bottom
"SW2","TL3301CF160QG","TL3301C-J",45.000000,10.000000,90.000000,bottom
"SW3","TL3301CF160QG","TL3301C-J",10.000000,10.000000,90.000000,bottom
"TH1","ERT-J0ER103J","R_0402_1005Metric",22.500000,55.000000,90.000000,bottom
"C1","10n","C_0402_1005Metric",23.100000,61.375000,-90.000000,top
"C2","10n","C_0402_1005Metric",23.100000,46.350000,-90.000000,top
"C3","100n","C_0402_1005Metric",24.100000,61.375000,-90.000000,top
"C4","100n","C_0402_1005Metric",24.100000,46.350000,-90.000000,top
"C5","100n","C_0402_1005Metric",30.900000,63.625000,90.000000,top
"C6","100n","C_0402_1005Metric",30.900000,48.650000,90.000000,top
"C7","10n","C_0402_1005Metric",31.900000,63.625000,90.000000,top
"C8","10n","C_0402_1005Metric",31.900000,48.650000,90.000000,top
"C9","100n","C_0402_1005Metric",35.500000,7.100000,0.000000,top
"C10","2u2","C_0402_1005Metric",35.500000,6.100000,0.000000,top
"C11","100n","C_0402_1005Metric",21.600000,8.000000,90.000000,top
"C12","12p","C_0402_1005Metric",32.600000,25.300000,90.000000,top
"C13","12p","C_0402_1005Metric",32.600000,27.200000,-90.000000,top
"C14","100n","C_0402_1005Metric",28.400000,24.500000,90.000000,top
"C15","100n","C_0402_1005Metric",33.900000,16.100000,0.000000,top
"C16","100n","C_0402_1005Metric",33.900000,19.900000,0.000000,top
"C17","100n","C_0402_1005Metric",27.400000,24.500000,90.000000,top
"C18","100n","C_0402_1005Metric",23.700000,19.900000,180.000000,top
"C19","100n","C_0402_1005Metric",29.400000,13.700000,-90.000000,top
